Char Dec	Hex	
🎅	127877	1F385	
🎆	127878	1F386	
🎇	127879	1F387	
🎈	127880	1F388	
🎉	127881	1F389	
🎊	127882	1F38A	
🎋	127883	1F38B	
🎌	127884	1F38C	
🎍	127885	1F38D	
🎎	127886	1F38E	
🎏	127887	1F38F	
🎐	127888	1F390	
🎑	127889	1F391	
🎒	127890	1F392	
🎓	127891	1F393	
🎖	127894	1F396	
🎗	127895	1F397	
🎙	127897	1F399	
🎚	127898	1F39A	
🎛	127899	1F39B	
🎞	127902	1F39E	
🎟	127903	1F39F	
🎠	127904	1F3A0	
🎡	127905	1F3A1	
🎢	127906	1F3A2	
🎣	127907	1F3A3	
🎤	127908	1F3A4	
🎥	127909	1F3A5	
🎦	127910	1F3A6	
🎧	127911	1F3A7	
🎨	127912	1F3A8	
🎩	127913	1F3A9	
🎪	127914	1F3AA	
🎫	127915	1F3AB	
🎬	127916	1F3AC	
🎭	127917	1F3AD	
🎮	127918	1F3AE	
🎯	127919	1F3AF	
🎰	127920	1F3B0	
🎱	127921	1F3B1	
🎲	127922	1F3B2	
🎳	127923	1F3B3	
🎴	127924	1F3B4	
🎵	127925	1F3B5	
🎶	127926	1F3B6	
🎷	127927	1F3B7	
🎸	127928	1F3B8	
🎹	127929	1F3B9	
🎺	127930	1F3BA	
🎻	127931	1F3BB	
🎼	127932	1F3BC	
🎽	127933	1F3BD	
🎾	127934	1F3BE	
🎿	127935	1F3BF	
🏀	127936	1F3C0	
🏁	127937	1F3C1	
🏂	127938	1F3C2	
🏃	127939	1F3C3	
🏄	127940	1F3C4	
🏅	127941	1F3C5	
🏆	127942	1F3C6	
🏇	127943	1F3C7	
🏈	127944	1F3C8	
🏉	127945	1F3C9	
🏊	127946	1F3CA	
🏋	127947	1F3CB	
🏌	127948	1F3CC	
🏍	127949	1F3CD	
🏎	127950	1F3CE	
🏏	127951	1F3CF	
🏐	127952	1F3D0	
🏑	127953	1F3D1	
🏒	127954	1F3D2	
🏓	127955	1F3D3	
🏔	127956	1F3D4	
🏕	127957	1F3D5	
🏖	127958	1F3D6	
🏗	127959	1F3D7	
🏘	127960	1F3D8	
🏙	127961	1F3D9	
🏚	127962	1F3DA	
🏛	127963	1F3DB	
🏜	127964	1F3DC	
🏝	127965	1F3DD	
🏞	127966	1F3DE	
🏟	127967	1F3DF	
🏠	127968	1F3E0	
🏡	127969	1F3E1	
🏢	127970	1F3E2	
🏣	127971	1F3E3	
🏤	127972	1F3E4	
🏥	127973	1F3E5	
🏦	127974	1F3E6	
🏧	127975	1F3E7	
🏨	127976	1F3E8	
🏩	127977	1F3E9	
🏪	127978	1F3EA	
🏫	127979	1F3EB	
🏬	127980	1F3EC	
🏭	127981	1F3ED	
🏮	127982	1F3EE	
🏯	127983	1F3EF	
🏰	127984	1F3F0	
🏳	127987	1F3F3	
🏴	127988	1F3F4	
🏵	127989	1F3F5	
🏷	127991	1F3F7	
🏸	127992	1F3F8	
🏹	127993	1F3F9	
🏺	127994	1F3FA	
🏻	127995	1F3FB	
🏼	127996	1F3FC	
🏽	127997	1F3FD	
🏾	127998	1F3FE	
🏿	127999	1F3FF	
🐀	128000	1F400	
🐁	128001	1F401	
🐂	128002	1F402	
🐃	128003	1F403	
🐄	128004	1F404	
🐅	128005	1F405	
🐆	128006	1F406	
🐇	128007	1F407	
🐈	128008	1F408	
🐉	128009	1F409	
🐊	128010	1F40A	
🐋	128011	1F40B	
🐌	128012	1F40C	
🐍	128013	1F40D	
🐎	128014	1F40E	
🐏	128015	1F40F	
🐐	128016	1F410	
🐑	128017	1F411	
🐒	128018	1F412	
🐓	128019	1F413	
🐔	128020	1F414	
🐕	128021	1F415	
🐖	128022	1F416	
🐗	128023	1F417	
🐘	128024	1F418	
🐙	128025	1F419	
🐚	128026	1F41A	
🐛	128027	1F41B	
🐜	128028	1F41C	
🐝	128029	1F41D	
🐞	128030	1F41E	
🐟	128031	1F41F	
🐠	128032	1F420	
🐡	128033	1F421	
🐢	128034	1F422	
🐣	128035	1F423	
🐤	128036	1F424	
🐥	128037	1F425	
🐦	128038	1F426	
🐧	128039	1F427	
🐨	128040	1F428	
🐩	128041	1F429	
🐪	128042	1F42A	
🐫	128043	1F42B	
🐬	128044	1F42C	
🐭	128045	1F42D	
🐮	128046	1F42E	
🐯	128047	1F42F	
🐰	128048	1F430	
🐱	128049	1F431	
🐲	128050	1F432	
🐳	128051	1F433	
🐴	128052	1F434	
🐵	128053	1F435	
🐶	128054	1F436	
🐷	128055	1F437	
🐸	128056	1F438	
🐹	128057	1F439	
🐺	128058	1F43A	
🐻	128059	1F43B	
🐼	128060	1F43C	
🐽	128061	1F43D	
🐾	128062	1F43E	
🐿	128063	1F43F	
👀	128064	1F440	
👁	128065	1F441	
👂	128066	1F442	
👃	128067	1F443	
👄	128068	1F444	
👅	128069	1F445	
👆	128070	1F446	
👇	128071	1F447	
👈	128072	1F448	
👉	128073	1F449	
👊	128074	1F44A	
👋	128075	1F44B	
👌	128076	1F44C	
👍	128077	1F44D	
👎	128078	1F44E	
👏	128079	1F44F	
👐	128080	1F450	
👑	128081	1F451	
👒	128082	1F452	
👓	128083	1F453	
👔	128084	1F454	
👕	128085	1F455	
👖	128086	1F456	
👗	128087	1F457	
👘	128088	1F458	
👙	128089	1F459	
👚	128090	1F45A	
👛	128091	1F45B	
👜	128092	1F45C	
👝	128093	1F45D	
👞	128094	1F45E	
👟	128095	1F45F	
👠	128096	1F460	
👡	128097	1F461	
👢	128098	1F462	
👣	128099	1F463	
👤	128100	1F464	
👥	128101	1F465	
👦	128102	1F466	
👧	128103	1F467	
👨	128104	1F468	
👩	128105	1F469	
👪	128106	1F46A	
👫	128107	1F46B	
👬	128108	1F46C	
👭	128109	1F46D	
👮	128110	1F46E	
👯	128111	1F46F	
👰	128112	1F470	
👱	128113	1F471	
